date,cases
2021-04-03,301
2021-04-04,296
2021-04-05,393
2021-04-06,473
2021-04-07,538
2021-04-08,497
2021-04-09,472
2021-04-10,428
2021-04-11,118
2021-04-12,650
2021-04-13,578
2021-04-14,536
2021-04-15,546
2021-04-16,503
2021-04-17,451
2021-04-18,295
2021-04-19,470
2021-04-20,400
2021-04-21,623
2021-04-22,393
2021-04-23,577
2021-04-24,333
2021-04-25,262
2021-04-26,444
2021-04-27,404
2021-04-28,493
2021-04-29,522
2021-04-30,433
2021-05-01,313
2021-05-02,207
2021-05-03,285
2021-05-04,385
2021-05-05,423
2021-05-06,355
2021-05-07,329
2021-05-08,208
2021-05-09,154
2021-05-10,287
2021-05-11,328
2021-05-12,369
2021-05-13,331
2021-05-14,296
2021-05-15,183
2021-05-16,110
2021-05-17,285
2021-05-18,319
2021-05-19,265
2021-05-20,257
2021-05-21,281
2021-05-22,133
2021-05-23,95
2021-05-24,186
2021-05-25,250
2021-05-26,221
2021-05-27,246
2021-05-28,170
2021-05-29,103
2021-05-30,97
2021-05-31,135
2021-06-01,160
2021-06-02,220
2021-06-03,310
2021-06-04,171
2021-06-05,77
2021-06-06,52
2021-06-07,177
2021-06-08,182
2021-06-09,211
2021-06-10,163
2021-06-11,123
2021-06-12,97
2021-06-13,65
2021-06-14,151
2021-06-15,162
2021-06-16,145
2021-06-17,190
2021-06-18,97
2021-06-19,95
2021-06-20,38
2021-06-21,149
2021-06-22,135
2021-06-23,110
2021-06-24,124
2021-06-25,137
2021-06-26,89
2021-06-27,69
2021-06-28,131
2021-06-29,165
2021-06-30,197
2021-07-01,234
2021-07-02,171
2021-07-03,109
2021-07-04,91
2021-07-05,122
2021-07-06,213
2021-07-07,271
2021-07-08,277
2021-07-09,316
2021-07-10,332
2021-07-11,291
2021-07-12,355
2021-07-13,477
2021-07-14,622
2021-07-15,632
2021-07-16,728
2021-07-17,621
2021-07-18,478
2021-07-19,741
2021-07-20,813
2021-07-21,804
2021-07-22,1023
2021-07-23,919
2021-07-24,852
2021-07-25,657
2021-07-26,1061
2021-07-27,1202
2021-07-28,1120
2021-07-29,1341
2021-07-30,1240
2021-07-31,1120
2021-08-01,840
2021-08-02,1173
2021-08-03,1426
2021-08-04,1386
2021-08-05,1467
2021-08-06,1448
2021-08-07,1158
2021-08-08,953
2021-08-09,1809
2021-08-10,2160
2021-08-11,1685
2021-08-12,1781
2021-08-13,1779
2021-08-14,1203
2021-08-15,1298
2021-08-16,1551
2021-08-17,1854
2021-08-18,1010
2021-08-19,2544
2021-08-20,1759
2021-08-21,1535
2021-08-22,1237
2021-08-23,1599
2021-08-24,2039
2021-08-25,1504
2021-08-26,2138
